1 July 2012	ESP	4	ITA	0
10 June 2012	ESP	1	ITA	1
10 June 2012	IRL	1	CRO	3
11 June 2012	FRA	1	ENG	1
11 June 2012	UKR	2	SWE	1
12 June 2012	GRE	1	CZE	2
12 June 2012	POL	1	RUS	1
13 June 2012	DEN	2	POR	3
13 June 2012	NED	1	GER	2
14 June 2012	ITA	1	CRO	1
14 June 2012	ESP	4	IRL	0
15 June 2012	UKR	0	FRA	2
15 June 2012	SWE	2	ENG	3
16 June 2012	CZE	1	POL	0
16 June 2012	GRE	1	RUS	0
17 June 2012	POR	2	NED	1
17 June 2012	DEN	1	GER	2
18 June 2012	CRO	0	ESP	1
18 June 2012	ITA	2	IRL	0
19 June 2012	ENG	1	UKR	0
19 June 2012	SWE	2	FRA	0
21 June 2012	CZE	0	POR	1
22 June 2012	GER	4	GRE	2
23 June 2012	ESP	2	FRA	0
28 June 2012	GER	1	ITA	2
8 June 2012	POL	1	GRE	1
8 June 2012	RUS	4	CZE	1
9 June 2012	NED	0	DEN	1
9 June 2012	GER	1	POR	0


